person_id,id,name,character,role
16350,tm44204,Anthony Quinn,Col. Andrea Stavros,actor
29175,tm44204,Stanley Baker,Pvt. 'Butcher' Brown,actor
16352,tm44204,Anthony Quayle,Maj. Roy Franklin,actor
29176,tm44204,James Darren,Pvt. Spyros Pappadimos,actor
21795,tm44204,Irene Papas,Maria Pappadimos,actor
29177,tm44204,Gia Scala,Anna,actor
29178,tm44204,James Robertson Justice,Commodore Jensen / Prologue Narrator,actor
4431,tm44204,Richard Harris,Squadron Leader Howard Barnsby RAAF,actor
29179,tm44204,Bryan Forbes,Cohn,actor
29180,tm44204,Allan Cuthbertson,Maj. Baker,actor
16493,tm44204,Michael Trubshawe,Weaver,actor
27914,tm44204,Percy Herbert,Sgt. Grogan,actor
16882,tm44204,George Mikell,SS Hauptman Sessler,actor
11738,tm44204,Walter Gotell,Muesel,actor
13701,tm44204,Tutte Lemkow,Nicolai,actor
29181,tm44204,Albert Lieven,Commandant,actor
29182,tm44204,Norman Wooland,Group Captain,actor
613906,tm44204,Kleo Skouloudi,Bride,actor
29184,tm44204,Nicholas Papakonstantinou,Patrol Boat Captain,actor
29185,tm44204,Christopher Rhodes,German Gunnery Officer,actor
13433,tm44204,William Hoehne Jr.,German Officer on Navarone,actor
29187,tm44204,J. Lee Thompson,Unknown,director
26187,tm67378,Burt Lancaster,Dolworth,actor
35196,tm67378,Lee Marvin,Fardan,actor
24126,tm67378,Robert Ryan,Ehrengard,actor
36499,tm67378,Woody Strode,Jake,actor
16444,tm67378,Jack Palance,Jesus Raza,actor
16488,tm67378,Claudia Cardinale,Maria,actor
12463,tm67378,Ralph Bellamy,Grant,actor
62767,tm67378,Joe De Santis,Ortega,actor
62768,tm67378,Rafael Bertrand,Fierro,actor
62769,tm67378,Jorge Martínez de Hoyos,Padilla,actor
62770,tm67378,Marie Gomez,Chiquita,actor
57746,tm67378,José Chávez,Revolutionary,actor
127918,tm67378,Carlos Romero,Revolutionary,actor
23699,tm67378,Vaughn Taylor,Banker,actor
534965,tm67378,Elizabeth Campbell,Mexican Girl (uncredited),actor
1461646,tm67378,Don Carlos,Bandit (uncredited),actor
58919,tm67378,Leigh Chapman,Lady (uncredited),actor
80218,tm67378,Roberto Contreras,Bandit (uncredited),actor
2209884,tm67378,Dirk Evans,Man at Door (uncredited),actor
539684,tm67378,Darwin Lamb,Hooper (uncredited),actor
227842,tm67378,Eddie Little Sky,Jake's Prisoner (uncredited),actor
2209736,tm67378,John Lopez,Mexican Servant (uncredited),actor
101889,tm67378,John McKee,Sheriff (uncredited),actor
534354,tm67378,Philip L. Parslow,Deputy Sheriff (uncredited),actor
650832,tm67378,Ron Veto,Mexican Soldier (uncredited),actor
23705,tm67378,Richard Brooks,Unknown,director
25707,tm69997,Richard Pryor,Himself,actor
191724,tm69997,Jennifer Lee Pryor,Herself (uncredited),actor
65063,tm69997,Jeff Margolis,Unknown,director
25056,tm16479,Bing Crosby,Bob Wallace,actor
60326,tm16479,Danny Kaye,Phil Davis,actor
74992,tm16479,Rosemary Clooney,Betty Haynes,actor
74993,tm16479,Vera-Ellen,Judy Haynes,actor
41874,tm16479,Dean Jagger,General Waverly,actor
27535,tm16479,Mary Wickes,Emma Allen,actor
74994,tm16479,John Brascia,John,actor
74995,tm16479,Anne Whitfield,Susan Waverly,actor
74996,tm16479,Bea Allen,Dancer (uncredited),actor
36157,tm16479,Frank Baker,Anniversary Party Guest (uncredited),actor
74997,tm16479,Glen Cargyle,Jeep Driver (uncredited),actor
25098,tm16479,George Chakiris,Dancer (uncredited),actor
100934,tm16479,Barrie Chase,Doris Lenz (uncredited),actor
1023889,tm16479,Lorinne Crawford,Rita (uncredited),actor
22477,tm16479,Franklyn Farnum,Club Patron (uncredited),actor
14166,tm16479,Bess Flowers,Club Patron (uncredited),actor
36504,tm16479,Gavin Gordon,General Carlton (uncredited),actor
422099,tm16479,Johnny Grant,Ed Harrison (uncredited),actor
57838,tm16479,Percy Helton,Train Conductor (uncredited),actor
88997,tm16479,I. Stanford Jolley,Station Master (uncredited),actor
45687,tm16479,Sig Ruman,Landlord (uncredited),actor
132394,tm16479,Grady Sutton,Mr. Herring (uncredited),actor
71905,tm16479,Herb Vigran,Novello (uncredited),actor
498631,tm16479,Robert Crosson,Albert (uncredited),actor
14797,tm16479,Michael Curtiz,Unknown,director
173189,tm135083,Farid Shawqi,Abu Siri,actor
530033,tm135083,Hind Rostom,Hanuma,actor
173191,tm135083,Youssef Chahine,Qinawi,actor
1321002,tm135083,Hassan el Baroudi,Madbouli,actor
